2009-2010 Award Year FFEL Volume by School,,,,,,,,,,,,,,,,,,,,,,,,
Award Year Quarterly Activity  (04/01/2010-06/30/2010),,,,,,,,,,,,,,,,,,,,,,,,
Data Run: 4/5/2012,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,, FFEL SUBSIDIZED ,,,,, FFEL UNSUBSIDIZED ,,,,, FFEL PARENT PLUS ,,,,,FFEL GRAD PLUS,,,,
OPE ID,School,State,Zip Code,School Type,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements
00106100,ALASKA PACIFIC UNIVERSITY,AK,995084672,PRIVATE, 5 , 5 ," $16,999.00 ",6," $21,249.00 ", 7 , 8 ," $22,500.00 ",10," $29,017.00 ", -   , -   , $-   ,1, $93.00 , -   , -   , $-   ,0, $-   
00106300,UNIVERSITY OF ALASKA FAIRBANKS,AK,997757500,PUBLIC, 99 , 104 ," $320,529.00 ",110," $316,818.00 ", 127 , 139 ," $388,516.00 ",153," $396,498.00 ", 2 , 2 ," $8,157.00 ",2," $8,157.00 ", -   , -   , $-   ,0, $-   
00106500,UNIVERSITY OF ALASKA SOUTHEAST,AK,998018680,PUBLIC, 38 , 40 ," $78,165.00 ",57," $121,239.00 ", 57 , 59 ," $183,637.00 ",76," $214,287.00 ", -   , -   , $-   ,0, $-   , 1 , 1 ," $3,233.00 ",1," $3,233.00 "
01146200,UNIVERSITY OF ALASKA ANCHORAGE,AK,995088050,PUBLIC, 10 , 10 ," $15,851.00 ",46," $80,427.00 ", 11 , 11 ," $34,866.00 ",56," $143,029.00 ", 1 , 1 ," $5,000.00 ",2," $8,333.00 ", 1 , 1 ," $8,500.00 ",1," $8,500.00 "
02541000,ALASKA CAREER COLLEGE,AK,995071033,PROPRIETARY, 117 , 118 ," $372,926.00 ",274," $434,764.00 ", 115 , 115 ," $506,587.00 ",267," $579,804.00 ", 5 , 5 ," $37,500.00 ",8," $23,616.00 ", -   , -   , $-   ,0, $-   
02576900,CHARTER COLLEGE,AK,995084103,PROPRIETARY, 313 , 331 ," $1,122,416.00 ",750," $1,301,036.00 ", 316 , 574 ," $1,412,196.00 ","1,278"," $1,644,464.00 ", 4 , 4 ," $8,130.00 ",11," $21,902.00 ", -   , -   , $-   ,0, $-   
03160300,AVTEC - ALASKA'S INSTITUTE OF TECHNOLOGY,AK,996640889,PUBLIC, 5 , 5 ," $13,575.00 ",16," $32,263.00 ", 4 , 4 ," $12,501.00 ",18," $46,717.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
00100200,ALABAMA AGRICULTURAL & MECHANICAL UNIVERSITY,AL,357621357,PUBLIC, 617 , 633 ," $1,338,890.00 ",760," $1,335,296.00 ", 850 , 927 ," $2,600,609.00 ","1,068"," $2,601,338.00 ", 50 , 55 ," $210,885.00 ",56," $210,885.00 ", 2 , 3 ," $7,200.00 ",3," $7,200.00 "
00100300,FAULKNER UNIVERSITY,AL,361093398,PRIVATE, 743 , 791 ," $2,341,953.00 ","1,376"," $2,445,249.00 ", 790 , 831 ," $2,126,438.00 ","1,465"," $2,232,294.00 ", 6 , 6 ," $20,170.00 ",6," $20,170.00 ", 57 , 61 ," $431,850.00 ",61," $431,850.00 "
00100400,UNIVERSITY OF MONTEVALLO,AL,351156000,PUBLIC, 201 , 206 ," $439,201.00 ",206," $436,201.00 ", 306 , 321 ," $1,042,901.00 ",319," $1,037,899.00 ", 13 , 13 ," $42,510.00 ",13," $42,510.00 ", 2 , 2 ," $12,560.00 ",2," $12,560.00 "
00100700,CENTRAL ALABAMA COMMUNITY COLLEGE,AL,350110000,PUBLIC, 156 , 159 ," $415,208.00 ",522," $733,487.00 ", 158 , 158 ," $355,078.00 ",523," $750,476.00 ", 1 , 1 ," $4,499.00 ",2," $4,499.00 ", -   , -   , $-   ,0, $-   
00101200,BIRMINGHAM SOUTHERN COLLEGE,AL,352540002,PRIVATE, 10 , 10 ," $41,570.00 ",11," $41,203.00 ", 14 , 15 ," $38,777.00 ",17," $41,274.00 ", 1 , 1 ," $5,000.00 ",1," $5,000.00 ", -   , -   , $-   ,0, $-   
00101500,ENTERPRISE STATE COMMUNITY COLLEGE,AL,363311300,PUBLIC, 76 , 77 ," $96,757.00 ",319," $300,118.00 ", 61 , 61 ," $114,871.00 ",204," $217,622.00 ", 2 , 2 ," $5,775.00 ",7," $13,688.00 ", -   , -   , $-   ,0, $-   
